"Test" "Group" "Subj" "eAP" "eML" "dAP" "dML" "dTot" "dSmth" "GT" "eTot" "test"
"87" "tvch" "N" "hc" 12.655667 133.515 288.02 390.1 535.38 59.19 "N.tvch" 146.17067 3
"88" "teof" "N" "hc" 471.364333 528.82633 311.9 405.91 562.73 123.43 "N.teof" 1000.19067 4
"89" "tecf" "N" "hc" 176.624 686.57633 305.65 432.72 583.1 137.73 "N.tecf" 863.20033 5
"90" "tvcf" "N" "hc" 79.797667 381.34933 294.49 423.78 566.61 118.35 "N.tvcf" 461.147 6
"91" "teoh" "W" "jc" 131.891667 1141.004 1516.71 2149.65 2838.1 110.96 "W.teoh" 1272.89567 1
"92" "tech" "W" "jc" 209.234333 1123.20333 1838.04 2203.12 3096.09 138.55 "W.tech" 1332.43767 2
"93" "tvch" "W" "jc" 405.817667 685.208 809.4 1068.08 1431.06 128.81 "W.tvch" 1091.02567 3
"94" "teof" "W" "jc" 1797.395667 3815.01167 1979.19 2596.58 3544.22 232.54 "W.teof" 5612.40733 4
"95" "tecf" "W" "jc" 9726.087333 15205.22333 2048.02 2633.58 3645.86 555.67 "W.tecf" 24931.31067 5
"96" "tvcf" "W" "jc" 4279.299333 2912.20533 1497.02 1868.41 2579.98 232.47 "W.tvcf" 7191.50467 6
"97" "teoh" "W" "jk" 1589.236333 1876.98567 394.24 421.54 629.2 245.48 "W.teoh" 3466.222 1
"98" "tech" "W" "jk" 13169.818333 3574.84467 730 620.19 1069.58 421.22 "W.tech" 16744.663 2
"99" "tvch" "W" "jk" 1095.992667 2946.50533 429.97 515.01 728.37 242.08 "W.tvch" 4042.498 3
"100" "teof" "W" "jk" 42736.752333 11346.39 1641.64 1134.94 2203.77 847.03 "W.teof" 54083.14233 4
"101" "tecf" "W" "jk" 55004.451333 19343.50767 1480.78 1223.52 2146.54 830.3 "W.tecf" 74347.959 5
"102" "tvcf" "W" "jk" 6783.87 14003.778 778.27 979.69 1392.13 624.24 "W.tvcf" 20787.648 6
"103" "teoh" "W" "kd" 1023.469667 905.14967 301.41 416.03 561.66 111.74 "W.teoh" 1928.61933 1
"104" "tech" "W" "kd" 583.065333 1065.402 273.73 376.07 510.03 148.85 "W.tech" 1648.46733 2
"105" "tvch" "W" "kd" 916.457667 750.55433 286.5 380.98 521.41 156.15 "W.tvch" 1667.012 3
"106" "teof" "W" "kd" 1606.757333 1493.751 291.94 430.25 572.57 135.75 "W.teof" 3100.50833 4
"107" "tecf" "W" "kd" 1324.984667 2514.27133 301.94 473.11 617.28 273.19 "W.tecf" 3839.256 5
"108" "tvcf" "W" "kd" 1074.622333 1994.527 294.05 475.41 612.01 247.87 "W.tvcf" 3069.14933 6
